,Filer,Date,Accession No.,Description
0,United States Department of Energy - Headquarters,9/29/2017,20170929-5055,Letter from the Secretary of Energy and proposal for a NOPR under RM18-1.For correct DOE NOPR see accession number 20171011-3068.
1,DEPARTMENT OF ENERGY,9/29/2017,20171002-0006,Department of Energy submits letter proposing a rule for final action and providing a copy of the Notice of Proposed Rulemaking under RM18-1. For correct DOE NOPR see accession number 20171011-3068.
2,DEPARTMENT OF ENERGY,10/2/2017,20171002-3039,Notice inviting comments re the Grid Reliability and Resilience Pricing under RM18-1.
3,American Wind Energy Association,10/2/2017,20171002-5348,Joint Motion of the Energy Industry Associations in response to the Letter from the Secretary of Energy under RM18-1.
4,"Southern Indiana Gas & Electric Company d/b/a Vectren Energy Indiana Gas Company, Inc. d/b/a Vectren Energy Delivery of I Vectren Energy Delivery of Ohio, Inc.",10/3/2017,20171003-5002,"(doc-less) Motion to Intervene of Southern Indiana Gas & Electric Company , et. al. under RM18-1."
5,American Wind Energy Association ENERGY INDUSTRY ASSOCIATIONS,10/3/2017,20171003-5155,Joint Motion for Extension of Time for Initial Comments and Reply Comments of the Energy Industry Associations under RM18-1.
6,American Wind Energy Association ENERGY INDUSTRY ASSOCIATIONS,10/4/2017,20171004-3095,Request for Information re section 403 of the Department of Energy Organization Act's proposed rule for final action by the Federal Energy Regulatory Commission under RM18-1.
7,Individual No Affiliation,10/4/2017,20171004-5030,Comment of Benjamin Cirker in opposition to the rule as written under RM18-1.
8,Northwest & Intermountain Power Producers Coalition,10/4/2017,20171004-5044,"Motion of Northwest & Intermountain Power Producers Coalition in Support of October 3, 2017 Motion for Extension of Time by the Energy Industry Associations under RM18-1."
9,"Wabash Valley Power Association, Inc.",10/4/2017,20171004-5136,"(doc-less) Motion to Intervene of Wabash Valley Power Association, Inc. under RM18-1."
10,Transmission Access Policy Study Group,10/4/2017,20171004-5163,"Answer of Transmission Access Policy Study Group in Support of October 3, 2017 Motion for Extension of Time by the Energy Industry Associations under RM18-1."
11,Individual No Affiliation,10/4/2017,20171004-5164,Comment of Kanan K Sheth in opposition to the rule as written under RM18-1.
12,Industrial Energy Consumers of America,10/5/2017,20171005-5014,Comment of Industrial Energy Consumers of America under RM18-1.
13,National Association of State Utility Consumer Advocates,10/5/2017,20171005-5019,"Motion of the National Association of State Utility Consumer Advocates Supporting the October 3, 2017 Joint Motion for Extension of Time of the Energy Industry Association under RM18-1."
14,Tennessee Valley Authority,10/5/2017,20171005-5030,(doc-less) Motion to Intervene of Tennessee Valley Authority under RM18-1.
15,American Forest & Paper Association,10/5/2017,20171005-5056,Motion of American Forest & Paper Association in Support of Answers and Motions for Extension of Time under RM18-1.
